Iteration,Best Distance,Average Distance
229,13241.17302015601,16036.744472477612
230,13241.17302015601,16024.332516301076
231,13241.17302015601,16121.881959917362
232,13241.17302015601,16062.113490970904
233,13241.17302015601,15802.525343117464
234,13241.17302015601,15976.014143886287
235,13241.17302015601,15964.666891105833
236,13241.17302015601,15850.360897405104
237,13241.17302015601,15979.509009076613
238,13241.17302015601,15703.586323527408
239,13241.17302015601,15870.941075967356
240,13241.17302015601,15935.373051849283
241,13241.17302015601,15848.200773401782
242,13241.17302015601,15917.769270767358
243,13232.738312994827,15881.140654986766
244,13232.738312994827,15546.146100356624
245,13232.738312994827,15638.999527488982
246,13232.738312994827,15618.66690150813
247,13232.738312994827,15735.670005913511
248,13232.738312994827,15540.621663899201
249,13232.738312994827,15394.83297386734
250,13211.88419268266,15402.077071355483
251,13211.88419268266,15383.163414923829
252,13211.88419268266,15624.381482821875
253,13211.88419268266,15188.537612958387
254,13205.985374535254,15293.51511832715
255,13205.985374535254,15723.430150979437
256,13167.367791102259,15896.082862056159
257,13167.367791102259,15636.600570749877
258,13167.367791102259,15638.371207195723
259,13167.367791102259,15486.703662820742
260,13167.367791102259,15551.395097104447
261,13167.367791102259,15500.128666304327
262,13065.995625425077,15337.028967745917
263,13065.995625425077,15677.937681690726
264,13065.995625425077,15578.529742466704
265,12903.931988434037,15373.14936917164
266,12903.931988434037,15224.822034787598
267,12885.087433492776,15153.655558287606
268,12885.087433492776,15486.139088532016
269,12885.087433492776,15245.532441625008
270,12802.559822756853,15133.081779892256
271,12802.559822756853,15144.437245497062
272,12802.559822756853,15341.13430477084
273,12802.559822756853,15310.043518525517
274,12802.559822756853,15017.877390550399
275,12802.559822756853,15151.154256692846
276,12738.512282578211,15217.783130745855
277,12738.512282578211,15048.088378741719
278,12722.111309333739,15014.761850015086
279,12661.391375405343,15200.695650085923
280,12661.391375405343,15124.421950226515
281,12561.543968734384,14870.70221476963
282,12561.543968734384,14926.547512343404
283,12561.543968734384,14835.571611510139
284,12561.543968734384,15021.162660913376
285,12478.645376014429,14873.953154401706
286,12423.619145729786,14637.343503791164
287,12423.619145729786,14588.96261125571
288,12423.619145729786,14608.510751921054
289,12423.619145729786,14698.481247649766
290,12423.619145729786,14407.786425163262
291,12423.619145729786,14515.144858156355
292,12423.619145729786,14358.055154148231
293,12423.619145729786,14218.308846678105
294,12423.619145729786,14381.947627616928
295,12393.141805023573,14393.40478181368
296,12393.141805023573,14620.834533018467
297,12365.721136316748,14723.469176187553
298,12345.866861078834,14533.532403834244
299,12345.866861078834,14315.866117906466
300,12345.866861078834,14345.797480279898
301,12345.866861078834,14157.7196380625
302,12345.866861078834,14116.735342300579
303,12345.866861078834,13999.910059787908
304,12345.866861078834,13920.973571665387
305,12345.866861078834,13848.342697971839
306,12341.267326611496,13800.82050880482
307,12288.010907462536,14069.153884509826
308,12288.010907462536,14311.950411275884
309,12232.977781687987,14379.084280379053
310,12232.977781687987,15068.21061584721
311,12232.977781687987,14685.939186319452
312,12232.977781687987,14305.420087973178
313,12232.977781687987,14450.169225848938
314,12232.977781687987,14572.870925340678
315,12232.977781687987,14407.140562952249
316,12232.977781687987,14248.730288531606
317,12232.977781687987,14237.108913323895
318,12232.977781687987,14300.302508875213
319,12232.977781687987,14233.20964361722
320,12232.977781687987,14036.5063423499
321,12232.977781687987,14055.240161929032
322,12232.977781687987,14103.106634582708
323,12232.977781687987,14055.59284027565
324,12232.977781687987,13952.406754962649
325,12232.977781687987,13970.353926817761
326,12232.977781687987,13891.25457103632
327,12232.977781687987,13957.46590073858
328,12232.977781687987,13936.982118999884
329,12232.977781687987,14215.289455750668
330,12232.977781687987,13985.296844673232
331,12232.977781687987,14009.992399977014
332,12232.977781687987,13752.900223756642
333,12202.847630174834,13835.866253684344
334,12202.847630174834,13628.797691489102
335,12202.847630174834,13635.45755382173
336,12202.847630174834,13544.845523919766
337,12202.847630174834,13678.89535103823
338,12202.847630174834,13680.274232008795
339,12168.179775602628,13709.930575346905
340,12168.179775602628,14091.62477772459
341,12168.179775602628,14129.98012660033
342,12168.179775602628,14114.724797702911
343,12091.67341686711,13858.348497799465
344,12061.616950628257,14293.027259116901
345,12061.616950628257,14150.464742649265
346,12061.616950628257,13988.11447572995
347,12061.616950628257,13805.338184069144
348,12061.616950628257,13834.071001064567
349,12061.616950628257,13916.203606535986
350,12061.616950628257,13904.640596165438
351,12061.616950628257,13798.62909502413
352,12061.616950628257,13819.033504321837
353,12061.616950628257,13816.990744086937
354,12061.616950628257,13807.573673527053
355,12061.616950628257,13785.037241512073
356,12061.616950628257,13682.516139441064
357,12061.616950628257,13552.771232530049
358,12061.616950628257,13641.794981281872
359,12031.486799115104,13522.56254783966
360,12031.486799115104,13834.917415803271
361,12031.486799115104,13711.647559917546
362,12031.486799115104,13594.0227413751
363,12031.486799115104,13374.822184535975
364,12031.486799115104,13563.459705257039
365,12031.486799115104,13565.125915572913
366,11927.024128542509,13534.743059958171
367,11927.024128542509,13767.866170214844
368,11927.024128542509,13736.53469987187
369,11927.024128542509,13535.264530289769
370,11927.024128542509,13557.707636870422
371,11927.024128542509,13489.206008185007
372,11927.024128542509,13585.909569267369
373,11927.024128542509,13467.860829276357
374,11927.024128542509,13391.04109763452
375,11927.024128542509,13579.064782336014
376,11927.024128542509,13449.2452030565
377,11927.024128542509,13348.747251724602
378,11927.024128542509,13272.221082590848
379,11927.024128542509,13372.310426731217
380,11927.024128542509,13351.718950453364
381,11927.024128542509,13390.147512847816
382,11927.024128542509,13266.257318146678
383,11927.024128542509,13294.289487516866
384,11915.708604728652,13343.606721407432
385,11915.708604728652,13488.385874875206
386,11915.708604728652,13353.168402122481
387,11915.708604728652,13289.717242939863
388,11915.708604728652,13373.074936687979
389,11915.708604728652,13305.38008703668
390,11915.708604728652,13284.4169089805
391,11915.708604728652,13175.104782992414
392,11915.708604728652,13210.386960238382
393,11915.708604728652,13114.236653538273
394,11915.708604728652,13220.31957483173
395,11915.708604728652,13153.807664320755
396,11915.708604728652,13099.135406186371
397,11915.708604728652,13120.220836220024
398,11915.708604728652,13175.924345642683
399,11915.708604728652,13132.275094943352
400,11915.708604728652,13100.21215267836
401,11894.252869734755,13148.85022787088
402,11894.252869734755,13335.773681304752
403,11793.251644364624,13369.738814454378
404,11793.251644364624,13379.116839709073
405,11793.251644364624,13388.390059304955
406,11781.936120550767,13248.211462956539
407,11781.936120550767,13101.606110711673
408,11781.936120550767,13059.457804706395
409,11781.936120550767,13231.091781374864
410,11781.936120550767,13257.473479261422
411,11781.936120550767,13112.865527177762
412,11781.936120550767,12939.888221718471
413,11781.936120550767,13132.092612897348
414,11781.936120550767,13046.711812763031
415,11781.936120550767,13138.690537168359
416,11781.936120550767,13055.693424053397
417,11781.936120550767,12961.288388357882
418,11781.936120550767,13087.188269508977
419,11781.936120550767,12976.993083942092
420,11781.936120550767,13018.832550275494
421,11781.936120550767,12878.93903363685
422,11781.936120550767,12950.993285897046
423,11781.936120550767,12804.12623619029
424,11781.936120550767,12857.756406932693
425,11781.936120550767,12803.627510969445
426,11781.936120550767,12808.613601574398
427,11781.936120550767,12794.146442459542
428,11781.936120550767,12761.577111922172
429,11781.936120550767,12753.1448662129
430,11781.936120550767,12694.881482464161
431,11781.936120550767,12722.200587599036
432,11781.936120550767,12633.561739536852
433,11781.936120550767,12686.726822750956
434,11781.936120550767,12736.873001356016
435,11781.936120550767,12740.045739944308
436,11781.936120550767,12713.209317235282
437,11781.936120550767,12641.303741356813
438,11781.936120550767,12513.338046032195
439,11781.936120550767,12516.374455676952
440,11781.936120550767,12517.412672694043
441,11781.936120550767,12493.65454383104
442,11781.936120550767,12485.861260906468
443,11781.936120550767,12547.015140436646
444,11781.936120550767,12593.928048055572
445,11781.936120550767,12533.97681918745
446,11781.936120550767,12481.378343531751
447,11781.936120550767,12534.370044961624
448,11781.936120550767,12449.417127783185
449,11781.936120550767,12479.98606651711
450,11781.936120550767,12483.987817846906
451,11781.936120550767,12468.386164640016
452,11781.936120550767,12426.609034768317
453,11781.936120550767,12441.039423121843
454,11781.936120550767,12538.882331813627
455,11694.470523899892,12386.25097132405
456,11694.470523899892,12951.712106578894
457,11694.470523899892,12816.765604412409
458,11654.347942767281,12909.752740365746
459,11654.347942767281,13055.196138270105
460,11654.347942767281,13008.023489717869
461,11613.042041588335,12927.376026268103
462,11561.951943945407,12855.27814914318
463,11561.951943945407,13150.574370708144
464,11561.951943945407,13174.600671587461
465,11561.951943945407,13055.677132023138
466,11561.951943945407,12977.184407428134
