Iteration,Best Distance,Average Distance
393,11710.61087705251,13579.467795105138
394,11710.61087705251,13460.23277815134
395,11710.61087705251,13545.165818269576
396,11710.61087705251,13359.518036264451
397,11710.61087705251,13518.704256549161
398,11710.61087705251,13418.919413496416
399,11710.61087705251,13547.002387492177
400,11710.61087705251,13488.699509031718
401,11710.61087705251,13439.790039669753
402,11710.61087705251,13400.407285590369
403,11710.61087705251,13413.793094889668
404,11710.61087705251,13417.697922443247
405,11710.61087705251,13483.058214273677
406,11710.61087705251,13290.914737034589
407,11710.61087705251,13229.650768232135
408,11710.61087705251,13198.459948221864
409,11710.61087705251,13215.486714728819
410,11710.61087705251,13194.001545851543
411,11710.61087705251,13145.340960599258
412,11710.61087705251,13135.075072066658
413,11710.61087705251,13184.952473254798
414,11710.61087705251,13208.74914045015
415,11710.61087705251,13269.54852187264
416,11710.61087705251,13251.754944293742
417,11710.61087705251,13260.576540190768
418,11710.61087705251,13288.418242514828
419,11710.61087705251,13270.468975633115
420,11710.61087705251,13259.461902714367
421,11710.61087705251,13242.554442614268
422,11710.61087705251,13258.561620523116
423,11710.61087705251,13196.953711339962
424,11710.61087705251,13192.299860009169
425,11710.61087705251,13147.323592301758
426,11710.61087705251,13092.85621836825
427,11710.61087705251,13025.85615006011
428,11710.61087705251,13028.058090554676
429,11710.61087705251,13046.793221337477
430,11710.61087705251,12929.686411823814
431,11710.61087705251,12850.165477883083
432,11710.61087705251,12906.606640974114
433,11710.61087705251,12817.821573939065
434,11710.61087705251,12852.133092599697
435,11710.61087705251,12881.760255561965
436,11710.61087705251,12817.937653318946
437,11710.61087705251,12835.596001727308
438,11710.61087705251,12788.784774492595
439,11710.61087705251,12799.595522313672
440,11710.61087705251,12700.639846917327
441,11710.61087705251,12649.514560514126
442,11710.61087705251,12629.059115275559
443,11710.61087705251,12580.519550432624
444,11710.61087705251,12612.361805325267
445,11710.61087705251,12515.286125119199
446,11710.61087705251,12596.943218061038
447,11710.61087705251,12550.832250628835
448,11710.61087705251,12531.197148675705
449,11710.61087705251,12515.552180396773
450,11710.61087705251,12525.181428652
451,11710.61087705251,12508.937722147624
452,11710.61087705251,12541.868331332535
453,11710.61087705251,12537.483449857828
454,11710.61087705251,12566.350509507796
455,11710.61087705251,12544.242968747983
456,11710.61087705251,12557.52643868713
457,11710.61087705251,12460.129393172405
458,11710.61087705251,12472.709547025299
459,11710.61087705251,12489.919736061465
460,11710.61087705251,12431.713777179755
461,11710.61087705251,12488.92390919573
462,11710.61087705251,12449.337683190075
463,11710.61087705251,12466.4103222595
464,11710.61087705251,12475.234385473284
465,11710.61087705251,12437.692228183185
466,11710.61087705251,12412.775155945836
467,11710.61087705251,12461.54376841754
468,11710.61087705251,12465.297323053694
469,11710.61087705251,12329.290146149133
470,11710.61087705251,12332.209134058801
471,11710.61087705251,12363.909361442056
472,11710.61087705251,12304.988885226054
473,11710.61087705251,12310.665385691262
474,11710.61087705251,12266.008115023304
475,11710.61087705251,12283.27058551028
476,11710.61087705251,12257.510748078685
477,11710.61087705251,12249.99342306012
478,11710.61087705251,12186.827528004846
479,11710.61087705251,12230.770486721476
480,11710.61087705251,12178.433969603788
481,11710.61087705251,12213.187755871715
482,11710.61087705251,12193.140442712882
483,11710.61087705251,12147.470067409626
484,11710.61087705251,12102.94192197946
485,11710.61087705251,12125.828915703143
486,11710.61087705251,12129.024047555175
487,11710.61087705251,12152.230006318443
488,11710.61087705251,12122.635129419612
489,11710.61087705251,12162.87160307847
490,11710.61087705251,12134.74803104957
491,11710.61087705251,12115.337226905498
492,11710.61087705251,12107.80912006406
493,11710.61087705251,12147.553552922815
494,11710.61087705251,12159.229025349883
495,11710.61087705251,12094.292071715146
496,11710.61087705251,12138.725123547301
497,11710.61087705251,12093.577776251786
498,11710.61087705251,12104.346651711421
499,11710.61087705251,12100.836609495711
500,11710.61087705251,12123.566311938834
501,11710.61087705251,12148.221133025858
502,11710.61087705251,12105.302652398472
503,11710.61087705251,12136.1799253604
504,11710.61087705251,12086.626020124288
505,11710.61087705251,11972.152972694426
506,11710.61087705251,11956.796995053268
507,11710.61087705251,11976.832623564418
508,11710.61087705251,11945.624649565474
509,11710.61087705251,11959.813539427103
510,11710.61087705251,11922.872773554252
511,11710.61087705251,11920.059650926538
512,11710.61087705251,11956.355408910362
513,11710.61087705251,11951.33370347719
514,11710.61087705251,11933.44872878301
515,11710.61087705251,11852.785479579823
516,11710.61087705251,11924.489989544958
517,11710.61087705251,11893.350654002661
518,11710.61087705251,11850.16707667588
519,11710.61087705251,11887.12473326025
520,11710.61087705251,11858.992238976343
521,11710.61087705251,11875.618307419458
522,11710.61087705251,11824.607550836306
523,11710.61087705251,11867.421508299767
524,11710.61087705251,11859.431696680145
525,11710.61087705251,11837.330380345933
526,11710.61087705251,11815.894525024747
527,11710.61087705251,11840.124678077662
528,11710.61087705251,11857.325747730729
529,11710.61087705251,11824.74986564847
530,11710.61087705251,11828.00809897053
531,11710.61087705251,11839.966816454285
532,11710.61087705251,11839.051565317586
533,11710.61087705251,11801.726878277592
534,11710.61087705251,11805.263313699728
535,11710.61087705251,11777.668591856416
536,11710.61087705251,11797.154276799813
537,11710.61087705251,11758.380798967313
538,11710.61087705251,11808.558432143833
539,11710.61087705251,11777.461267688552
540,11710.61087705251,11781.672613022167
541,11710.61087705251,11794.221462895786
542,11710.61087705251,11739.058336465143
543,11710.61087705251,11755.665190721516
544,11710.61087705251,11783.680781516574
545,11710.61087705251,11733.018881409147
546,11710.61087705251,11763.036975586434
547,11710.61087705251,11767.40017697264
548,11710.61087705251,11769.622702333401
549,11710.61087705251,11760.967634222192
550,11710.61087705251,11772.687925160379
551,11710.61087705251,11710.61087705251
552,11710.61087705251,11736.800676751083
553,11710.61087705251,11736.800676751083
554,11710.61087705251,11742.38413905951
555,11710.61087705251,11710.61087705251
556,11710.61087705251,11742.38413905951
557,11710.61087705251,11736.800676751083
558,11710.61087705251,11716.194339360934
559,11710.61087705251,11710.61087705251
560,11710.61087705251,11710.61087705251
