Iteration,Best Distance,Current Distance,Iter Time (s),Cumulative Time (s)
130,23920.326115339998,26105.70931873399,2.6702880859375e-05,0.0281221866607666
131,23920.326115339998,26199.754227600813,2.86102294921875e-05,0.02837395668029785
132,23920.326115339998,25235.837713324003,2.09808349609375e-05,0.02859807014465332
133,23920.326115339998,25235.837713324003,1.9788742065429688e-05,0.028800010681152344
134,23920.326115339998,25274.35928854879,2.0265579223632812e-05,0.02900385856628418
135,23920.326115339998,25321.028930613465,2.0503997802734375e-05,0.029204607009887695
136,23920.326115339998,25316.237615890248,1.9311904907226562e-05,0.02940225601196289
137,23920.326115339998,25316.237615890248,2.0265579223632812e-05,0.029616594314575195
138,23920.326115339998,25316.237615890248,2.0265579223632812e-05,0.029839277267456055
139,23920.326115339998,24934.702474026264,2.002716064453125e-05,0.030051708221435547
140,23920.326115339998,25129.531600023238,2.0742416381835938e-05,0.030247926712036133
141,23920.326115339998,24985.98656008709,1.9550323486328125e-05,0.030457735061645508
142,23920.326115339998,25156.052742487173,2.002716064453125e-05,0.030649423599243164
143,23920.326115339998,25029.151833967724,1.9311904907226562e-05,0.03084087371826172
144,23920.326115339998,25029.151833967724,2.0742416381835938e-05,0.031064510345458984
145,23920.326115339998,25514.56667580393,2.0265579223632812e-05,0.03130149841308594
146,23920.326115339998,25525.19027621723,1.9788742065429688e-05,0.03149533271789551
147,23920.326115339998,25733.267351274586,2.002716064453125e-05,0.03168630599975586
148,23920.326115339998,25733.267351274586,1.9788742065429688e-05,0.03188061714172363
149,23920.326115339998,25733.267351274586,1.9311904907226562e-05,0.032071828842163086
150,23920.326115339998,25623.8067512478,1.9073486328125e-05,0.032260894775390625
151,23920.326115339998,25756.20740788523,2.0265579223632812e-05,0.03245401382446289
152,23920.326115339998,25756.20740788523,1.9788742065429688e-05,0.03264188766479492
153,23920.326115339998,25430.641726913764,1.9073486328125e-05,0.03283095359802246
154,23920.326115339998,25430.641726913764,2.002716064453125e-05,0.03302574157714844
155,23920.326115339998,25314.751479717062,1.9550323486328125e-05,0.033215999603271484
156,23920.326115339998,25126.087192327457,1.8835067749023438e-05,0.03340625762939453
157,23920.326115339998,25124.15882629232,1.9073486328125e-05,0.03359699249267578
158,23920.326115339998,25582.95926739538,2.002716064453125e-05,0.03378772735595703
159,23920.326115339998,25211.781361472844,1.9073486328125e-05,0.03397870063781738
160,23920.326115339998,25239.18237785783,1.9788742065429688e-05,0.03416848182678223
161,23920.326115339998,25239.18237785783,2.0265579223632812e-05,0.034372806549072266
162,23920.326115339998,25272.02821318027,1.9550323486328125e-05,0.03456425666809082
163,23920.326115339998,25272.02821318027,1.9311904907226562e-05,0.03476691246032715
164,23920.326115339998,24307.715915965946,1.9550323486328125e-05,0.03495502471923828
165,23920.326115339998,24307.715915965946,2.0265579223632812e-05,0.035172462463378906
166,23920.326115339998,24267.49906005516,1.9788742065429688e-05,0.03536391258239746
167,23920.326115339998,24524.000096832406,2.0265579223632812e-05,0.035558223724365234
168,23920.326115339998,24174.743086818227,2.0265579223632812e-05,0.03577923774719238
169,23920.326115339998,24174.743086818227,2.002716064453125e-05,0.03598785400390625
170,23920.326115339998,24524.000096832406,2.002716064453125e-05,0.03618621826171875
171,23920.326115339998,24957.57503957233,2.1457672119140625e-05,0.0363926887512207
172,23920.326115339998,24957.57503957233,2.002716064453125e-05,0.03664875030517578
173,23920.326115339998,25078.92422715452,2.288818359375e-05,0.03693413734436035
174,23920.326115339998,25389.849731885384,2.0742416381835938e-05,0.037154436111450195
175,23920.326115339998,24788.554118282755,2.0503997802734375e-05,0.037349700927734375
176,23920.326115339998,24789.798058508615,2.09808349609375e-05,0.03756380081176758
177,23920.326115339998,24789.798058508615,2.4318695068359375e-05,0.03778362274169922
178,23920.326115339998,24829.37120814786,2.193450927734375e-05,0.03798556327819824
179,23920.326115339998,24829.37120814786,2.0742416381835938e-05,0.03818392753601074
180,23920.326115339998,25056.971554667824,2.0742416381835938e-05,0.03838491439819336
181,23920.326115339998,24804.918463044196,2.0265579223632812e-05,0.03858208656311035
182,23920.326115339998,24804.918463044196,2.0742416381835938e-05,0.03878045082092285
183,23920.326115339998,24632.4879652809,2.0265579223632812e-05,0.03897714614868164
184,23920.326115339998,24644.477719245497,2.0265579223632812e-05,0.039200544357299805
185,23920.326115339998,24644.477719245497,2.0742416381835938e-05,0.03940320014953613
186,23920.326115339998,24639.913397369997,1.9788742065429688e-05,0.03959774971008301
187,23920.326115339998,24639.913397369997,2.1696090698242188e-05,0.039804697036743164
188,23920.326115339998,24545.792633916248,2.0503997802734375e-05,0.04000115394592285
189,23920.326115339998,24171.32145875791,1.9788742065429688e-05,0.04019808769226074
190,23920.326115339998,24171.32145875791,2.002716064453125e-05,0.040392398834228516
191,23920.326115339998,24171.32145875791,1.9788742065429688e-05,0.04058837890625
192,23920.326115339998,24020.717094690895,1.9788742065429688e-05,0.040812015533447266
193,23601.18977172518,23601.18977172518,2.0265579223632812e-05,0.04101133346557617
194,23601.18977172518,23637.098727944027,1.9550323486328125e-05,0.04120373725891113
195,23601.18977172518,23602.396401044516,1.9311904907226562e-05,0.04139828681945801
196,23521.918557662008,23521.918557662008,2.0503997802734375e-05,0.04160809516906738
197,23481.63715953088,23481.63715953088,2.002716064453125e-05,0.041812896728515625
198,23481.63715953088,23592.291692950923,2.0265579223632812e-05,0.042008399963378906
199,22766.585899519854,22766.585899519854,2.0503997802734375e-05,0.04220151901245117
200,22766.585899519854,23066.372622059047,2.0742416381835938e-05,0.04239344596862793
201,22766.585899519854,23066.372622059047,1.9788742065429688e-05,0.04259037971496582
202,22739.03686658981,22739.03686658981,2.0503997802734375e-05,0.04279661178588867
203,22739.03686658981,23112.154089393243,2.0265579223632812e-05,0.04299330711364746
204,22739.03686658981,23085.00822519167,3.123283386230469e-05,0.04322624206542969
205,22739.03686658981,23025.401403217973,2.8371810913085938e-05,0.04347419738769531
206,22739.03686658981,23170.699330285006,2.2172927856445312e-05,0.04372119903564453
207,22739.03686658981,23170.699330285006,2.1219253540039062e-05,0.04395890235900879
208,22739.03686658981,22976.632538247664,1.9311904907226562e-05,0.04416155815124512
209,22739.03686658981,22976.632538247664,1.9550323486328125e-05,0.044359683990478516
210,22739.03686658981,23174.980881445772,2.0503997802734375e-05,0.04456281661987305
211,22739.03686658981,22809.3403541578,1.9311904907226562e-05,0.044760942459106445
212,22640.958727951736,22640.958727951736,2.193450927734375e-05,0.044962167739868164
213,22640.958727951736,23323.677825967778,2.0265579223632812e-05,0.045165300369262695
214,22640.958727951736,23556.123756208468,2.1219253540039062e-05,0.04537677764892578
215,22640.958727951736,23556.123756208468,2.0265579223632812e-05,0.04557657241821289
216,22640.958727951736,23667.16277273024,1.9788742065429688e-05,0.04577922821044922
217,22640.958727951736,24365.263224279446,2.0265579223632812e-05,0.04597878456115723
218,22640.958727951736,23865.573545900566,1.9788742065429688e-05,0.04617619514465332
219,22640.958727951736,23865.573545900566,1.9788742065429688e-05,0.04637289047241211
220,22640.958727951736,23961.75474609665,2.0265579223632812e-05,0.046570777893066406
221,22640.958727951736,24696.045592431587,2.0265579223632812e-05,0.0467686653137207
222,22640.958727951736,24604.53920367188,1.9073486328125e-05,0.046966552734375
223,22640.958727951736,24555.527253276065,1.9311904907226562e-05,0.04717659950256348
224,22640.958727951736,24786.518881151966,2.0265579223632812e-05,0.04737377166748047
225,22640.958727951736,24834.52632677312,2.002716064453125e-05,0.04756975173950195
226,22640.958727951736,24783.891272340144,1.9311904907226562e-05,0.047771453857421875
227,22640.958727951736,24652.22159530776,1.9550323486328125e-05,0.0479731559753418
228,22640.958727951736,24598.530861697785,1.9788742065429688e-05,0.048172712326049805
229,22640.958727951736,24639.521170211807,1.9788742065429688e-05,0.04837965965270996
230,22640.958727951736,25121.914074465425,2.09808349609375e-05,0.04858994483947754
231,22640.958727951736,25244.945252456546,1.9311904907226562e-05,0.04878568649291992
232,22640.958727951736,25013.95362458065,1.9550323486328125e-05,0.04897642135620117
233,22640.958727951736,25078.663258883927,2.002716064453125e-05,0.04918503761291504
234,22640.958727951736,24628.149557573703,1.9550323486328125e-05,0.049379587173461914
235,22640.958727951736,24475.223667862203,1.9073486328125e-05,0.049571990966796875
236,22640.958727951736,24809.122977577823,1.9788742065429688e-05,0.049767255783081055
237,22640.958727951736,24809.122977577823,1.9788742065429688e-05,0.04996299743652344
238,22640.958727951736,24932.406501473128,1.9788742065429688e-05,0.0501561164855957
239,22640.958727951736,24920.890577881542,1.8835067749023438e-05,0.05034780502319336
240,22640.958727951736,23946.480940245816,2.0265579223632812e-05,0.05056023597717285
241,22640.958727951736,24149.034548333035,2.0265579223632812e-05,0.05075955390930176
242,22640.958727951736,23497.316752565144,1.9311904907226562e-05,0.05095171928405762
