Iteration,Best Distance,Current Distance,Iter Time (s),Cumulative Time (s)
69,6549.932517017527,6549.932517017527,0.001302957534790039,0.10541415214538574
70,6519.810116774152,6519.810116774152,0.0012989044189453125,0.10692381858825684
71,6511.4504880159075,6511.4504880159075,0.0012965202331542969,0.10842776298522949
72,6397.512305696923,6397.512305696923,0.0011785030364990234,0.10983633995056152
73,6395.291054134173,6395.291054134173,0.0011816024780273438,0.11124515533447266
74,6312.845027146346,6312.845027146346,0.001184225082397461,0.11267447471618652
75,6312.845027146346,6312.845027146346,0.001165628433227539,0.11403965950012207
76,6236.198226782487,6236.198226782487,0.0011730194091796875,0.11541056632995605
77,6229.881343651786,6229.881343651786,0.0011663436889648438,0.11681008338928223
78,6149.5072613530365,6149.5072613530365,0.001161813735961914,0.11815428733825684
79,6069.676664628955,6069.676664628955,0.0011668205261230469,0.11951184272766113
80,6069.676664628955,6069.676664628955,0.0014650821685791016,0.12123513221740723
81,6069.676664628955,6155.352491308816,0.001209259033203125,0.12267875671386719
82,6069.676664628955,6092.548179694618,0.0011632442474365234,0.12404727935791016
83,6069.676664628955,6092.548179694618,0.0011649131774902344,0.12542510032653809
84,6006.872353014757,6006.872353014757,0.0011670589447021484,0.12677359580993652
