Iteration,Best Distance,Average Distance,Iter Time (s),Cumulative Time (s)
357,6317.457482641286,22548.32542533728,0.007383584976196289,2.8197567462921143
358,6317.457482641286,22508.76215072219,0.006619930267333984,2.8266637325286865
359,6317.457482641286,22261.37168518239,0.008697032928466797,2.835578203201294
360,6317.457482641286,22911.15511831427,0.006655693054199219,2.8424527645111084
361,6317.457482641286,22647.965168819566,0.007300376892089844,2.850086212158203
362,6317.457482641286,22368.206669161285,0.009496688842773438,2.8598313331604004
363,6317.457482641286,22324.124677100663,0.007006168365478516,2.8672001361846924
364,6317.457482641286,22767.363939800434,0.005947589874267578,2.873394012451172
365,6317.457482641286,22851.52284031226,0.005685091018676758,2.8792808055877686
366,6317.457482641286,22502.882640923468,0.006140470504760742,2.885610818862915
367,6317.457482641286,22217.783965865678,0.008250236511230469,2.8941762447357178
368,6317.457482641286,22438.662125730705,0.006624460220336914,2.901013135910034
369,6317.457482641286,22272.618265497793,0.00464940071105957,2.9058632850646973
370,6317.457482641286,22224.1370312101,0.008317708969116211,2.914424419403076
371,6317.457482641286,22111.629717696396,0.007593393325805664,2.922410488128662
372,6317.457482641286,21856.29310346285,0.010396242141723633,2.933073043823242
373,6317.457482641286,22159.52210403822,0.006725788116455078,2.940201759338379
374,6317.457482641286,22044.85823113267,0.009336471557617188,2.950007200241089
375,6317.457482641286,21758.99437881549,0.009066343307495117,2.959310531616211
376,6317.457482641286,21878.17969317243,0.008266925811767578,2.967852830886841
377,6317.457482641286,22762.95725283977,0.004700660705566406,2.972806453704834
378,6317.457482641286,22071.134754353054,0.008710384368896484,2.98178768157959
379,6317.457482641286,22162.908409270512,0.0072896480560302734,2.989469051361084
380,6317.457482641286,22180.866821964468,0.00841212272644043,2.998121976852417
381,6317.457482641286,22216.439900243116,0.00877523422241211,3.0074470043182373
382,6317.457482641286,22651.666550872396,0.004713296890258789,3.012617826461792
383,6317.457482641286,22542.204116096018,0.006022930145263672,3.018899440765381
384,6317.457482641286,22513.783185964265,0.007397651672363281,3.0264947414398193
385,6317.457482641286,22773.37063357493,0.006704568862915039,3.0336036682128906
386,6317.457482641286,22988.63817771704,0.007788896560668945,3.041635751724243
